Experience,Salary,Age,Gender,Hours_Worked,Department
6,8974,34,Female,58,Finance
19,17175,53,Female,35,Sales
28,26948,60,Male,36,Sales
14,13997,48,Male,43,Marketing
10,13430,35,Male,42,IT
7,10281,41,Female,37,IT
28,26326,56,Female,39,HR
20,18559,52,Female,38,Marketing
6,8204,30,Female,47,HR
25,21552,52,Male,56,HR
18,19217,51,Female,55,HR
22,22550,45,Female,31,Finance
10,10865,41,Female,34,Finance
10,10858,44,Female,58,HR
23,23337,53,Female,34,Marketing
20,17846,46,Male,35,IT
3,5815,30,Male,48,Marketing
7,11020,40,Female,37,Sales
23,23483,56,Male,45,Finance
2,4166,35,Female,42,IT
21,21643,54,Female,30,IT
20,18493,45,Male,51,Sales
1,5555,33,Male,49,Sales
23,22324,54,Female,46,HR
11,11719,39,Female,36,Finance
29,27844,62,Female,54,Finance
5,8815,35,Male,42,Marketing
1,5296,29,Female,33,HR
27,26313,49,Female,33,HR
20,18868,42,Female,35,HR
0,3560,30,Male,57,HR
11,13177,43,Female,48,Finance
25,24670,55,Female,58,Finance
21,20544,46,Male,41,HR
28,24001,62,Female,51,Marketing
11,10930,41,Female,36,IT
24,20806,48,Male,56,IT
16,17570,44,Female,39,Marketing
26,22549,53,Male,55,HR
26,22942,55,Male,48,Finance
9,10489,41,Female,36,IT
27,22940,57,Female,59,Sales
27,24850,53,Female,32,Sales
15,14330,37,Female,42,Marketing
14,15675,38,Male,42,HR
29,26306,60,Female,47,IT
29,25584,62,Male,57,HR
14,16277,43,Female,59,IT
29,27744,61,Female,55,Marketing
18,15977,45,Female,49,Marketing
11,12765,40,Male,57,Sales
22,20816,52,Female,37,HR
19,18258,44,Female,58,Sales
24,22713,46,Female,38,HR
2,4169,24,Female,36,Sales
4,6896,35,Male,30,Finance
18,17645,43,Female,32,Finance
6,9883,39,Male,42,Finance
20,21263,48,Male,57,Finance
8,8775,31,Male,59,IT
6,10059,30,Male,54,Finance
17,17751,39,Male,57,Marketing
3,6236,29,Male,46,Marketing
24,23109,46,Female,54,IT
27,26410,56,Male,53,Finance
13,12004,35,Male,30,Finance
17,17887,49,Male,35,Finance
25,22259,47,Female,50,Sales
8,8934,31,Female,35,HR
25,24075,48,Male,55,Sales
20,21114,53,Female,41,HR
1,6982,28,Male,42,Finance
19,16895,47,Male,42,Finance
27,25797,53,Female,58,Sales
14,15710,36,Male,44,Sales
27,23850,49,Female,50,HR
6,8405,30,Female,45,Marketing
11,13206,34,Male,51,HR
28,23837,54,Male,50,Sales
7,9790,40,Female,40,Sales
14,14891,45,Male,57,IT
2,4770,29,Male,34,Sales
13,14605,41,Male,33,IT
16,14774,41,Female,32,Marketing
3,7525,31,Female,48,HR
17,16879,49,Male,49,HR
7,10650,36,Female,54,IT
3,8746,35,Female,47,HR
1,2885,23,Female,44,Sales
29,24784,56,Female,38,Finance
5,6219,34,Female,46,IT
21,20418,47,Male,43,HR
9,12847,34,Male,44,IT
3,6959,26,Male,30,IT
21,18499,48,Female,50,Finance
28,26051,55,Female,51,Sales
17,16321,49,Male,51,IT
25,22756,47,Female,32,HR
11,13268,41,Male,45,Marketing
1,4566,34,Male,52,IT
9,10465,41,Male,54,IT
29,27525,56,Female,40,Finance
3,5783,37,Female,41,Sales
13,13773,37,Male,39,Marketing
15,16274,40,Male,45,HR
14,15132,47,Male,37,Marketing
7,8703,39,Male,35,HR
13,12050,38,Female,41,Sales
22,22436,46,Female,53,HR
27,26569,58,Male,57,Finance
24,20774,48,Male,50,Finance
29,27211,53,Female,37,Finance
7,8648,32,Female,55,Finance
20,19597,48,Male,57,Marketing
15,15861,40,Male,33,Sales
12,14117,42,Male,55,HR
17,18263,39,Female,37,HR
14,15302,43,Female,55,Finance
20,19115,48,Female,57,Finance
23,20081,46,Male,47,IT
25,22037,54,Male,57,Sales
24,23954,46,Female,57,Marketing
27,23927,59,Female,34,HR
27,25950,60,Male,38,IT
27,25241,57,Female,33,IT
12,14160,42,Female,56,HR
8,11190,31,Male,51,Marketing
28,25711,56,Female,46,IT
